id,video_id,comment,layer,subject,stance
13,bear2,人がやられるか熊がやられるかの戦争状態と言っていい。駆除されて可哀そうとか言ってる場合じゃない。,C,不明,不明
14,bear2,動かなくてもいつ起きるか分からないし怖いだろ、凄いな,B,熊,不安
15,bear2,こんなでけえ熊が普通にくるの怖すぎる,A,不明,不明
16,bear2,この時期に食い続けるではなく腹が減ったらリンゴ食うとか、もう冬眠する気無かったろ,A,不明,皮肉
17,bear2,流石に殺処分するべき、こんな怪物と共存なんて出来る訳がない。そしてハンターにはしっかりと報酬を与えないといかんな,A,政府,不明
18,bear2,今まで、民間人である猟友会の皆さんに押し付けてきたいびつな仕組みを根本から変えないといけないと思いました。,A,猟友会,不明
19,bear2,こんな距離で吹き矢って...... もう日本の法律って本当にアホやな,A,獣医,批判
20,bear2,「出血を伴うケガ」を想像するだけでも怖い,B,熊,不安
21,bear2,なんで駆除することに言い訳をしなきゃいけないんだよ。どんどん駆除しろよ。理由なんていらないから。,C,不明,要求
22,bear2,りんご農園さん大人な対応だな、私だったら行政の対応遅くてイラつく,C,政府,不明
23,bear2,1頭いくらって計算もおかしいよ。。1人当たりいくらにしないと大きい熊の駆除になればなるほど人数増えて安くなるやん,C,不明,批判
24,bear2,吹き矢は凄いわ... 当てるスキルも肝の座りっぷりも,A,獣医,不明
25,bear2,あんなに近くから吹くんだ。「ん?」というリアクションだったけど、突っ込んできたらひとたまりもない。,A,不明,不明
26,bear2,散々猟友会に丸投げした癖に何を言ってんだ。行政の怠慢だろうよ,A,猟友会,批判
27,bear2,寝てるとはいえ、運ぶの怖いだろうな,B,市職員,不安
28,bear2,あの罠は貧弱すぎ、鉄筋を点付けしただけじゃだめ。,A,罠,不明
29,bear2,こんな脆弱な箱罠じゃ子グマでも捕獲は破られます。溶接があまりにも安直すぎる。,A,罠,不明
30,bear2,この罠作った作製者および制作会社の製品 は使えないってことを改めて考えるべき動画になったな,A,罠,不明
31,bear2,箱罠を作成した人(業者さん?)の溶接の不具合もありますよね。 鉄筋は曲がってもこんなに簡単に溶接箇所は剥がれませんもんね,A,罠,不明
32,bear2,円柱鉄筋細すぎるやろ。さすがに熊を紙めてるの,A,不明,不明
33,bear2,イノシシと兼用の罠じゃダメだよ　もっと頑丈なクマ専用の罠にしない,A,罠,不明
34,bear2,法律改正早くしろ,C,不明,不明
35,bear2,住宅街だから撃てないとかさっさと法律変えろ。時間も金も無無駄すぎる,C,不明,不明
36,bear2,住宅街でもいいからライフル使え,A,不明,不明
37,bear2,クマに対しての銃規制を人が襲われる前に変えたほうが良い,A,不明,不明
38,bear2,人間でも脱出できそうなくらい簡素な箱だなぁ,A,不明,皮肉
39,bear2,クマは獲物への執着も、凄まじいですからね,A,不明,不明
40,bear2,こんだけ人が襲われてるのにまだ来存か?,A,不明,不明
41,bear2,獣医が吹き矢を使うって知らなかった,A,獣医,不明
42,bear2,住宅街では撃っちゃダメって逆だろ?,A,不明,批判
43,bear2,どうせ始末するんなら毒入りりんご置いておけばいい,A,不明,皮肉
44,bear2,徹底的な駆除ができるよう法改正が必要ですね,C,不明,要求
45,bear2,丸々と太りあげてるけど、本当に餌不足?保護して増やしすぎでしょう。,A,不明,不明
46,bear2,毒餌を使って駆除できないだろうか,C,不明,要求
47,bear2,10分後に駆除って!?猟友会ハンパない,C,猟友会,不明
48,bear2,麻酔打った後その場で止め刺ししないのは、農作物用の倉庫を汚したくないからかな?見ててハラハラするけど…,B,獣医,不安
49,bear2,国、というか政治家や官僚たちには、何の利権も旨みも無いのだろうね 奴らは自分の儲けにならない事には無関心だからね,A,不明,不明
50,bear2,よく見たら細い鉄筋じゃん、これ人間でも曲げれるやろ　罠にかかった経験与えただけじゃん,A,罠,不明
